Branch,npmrc,ROADMAP,gitVersionControl,review,security_helpers
alert-autofix-5671,NO,YES,NO,NO,NO
alert-fix-1715,NO,NO,NO,NO,NO
alert-fix-2305,NO,NO,NO,NO,NO
alert-fix-2324,NO,NO,NO,NO,NO
claude/accessibility-audit-baseline-USu5N,YES,YES,YES,YES,YES
claude/accessibility-audit-wcag-wOLML,NO,NO,NO,NO,NO
claude/add-analytics-tests-L5KyM,NO,NO,NO,NO,NO
claude/add-analytics-tests-uFBpl-15472485915422703271,NO,NO,NO,NO,NO
claude/add-claude-documentation-QxLA4,YES,YES,YES,YES,YES
claude/add-claude-documentation-TYNqv,YES,YES,YES,YES,YES
claude/add-constants-tests-OnNXg,NO,NO,NO,NO,NO
claude/add-doc-sections-1EhnP,YES,YES,YES,YES,YES
claude/add-duotone-illustrations-x4GKk,NO,NO,NO,NO,NO
claude/add-eslint-config-ZCKYQ,YES,YES,YES,YES,YES
claude/analyze-pr-deleted-files-QBlYv,YES,YES,YES,YES,YES
claude/analyze-test-coverage-9JQZb,YES,YES,YES,YES,YES
claude/apply-code-fixes-BUsgx,YES,YES,YES,YES,YES
claude/claude-md-mi99o181rvyluac7-01GBap4tmQKY2HHePk1jxVXy,NO,NO,NO,NO,NO
claude/core-editor-phase-1-PI3Yp,NO,YES,NO,NO,NO
claude/create-audit-issues-S4QtL,NO,NO,NO,NO,NO
claude/daily-pr-review-2026-03-25-16003728981745369675,YES,YES,YES,YES,YES
claude/daily-pr-review-2026-03-26-16003728981745369675-427534641767457171,YES,YES,YES,YES,YES
claude/enhance-mobile-responsiveness-GCMC6,YES,YES,YES,YES,YES
claude/eslint-10-upgrade-issue-Bg8XP,YES,YES,YES,YES,YES
claude/eslint-v9-to-v10-upgrade-EYLU6,YES,YES,YES,YES,YES
claude/fix-bash-conditionals-Zlz46,YES,YES,YES,YES,YES
claude/fix-ci-workflow-permissions-emVdO,YES,YES,YES,YES,YES
claude/fix-codacy-issues-bp3bR,YES,YES,YES,YES,YES
claude/fix-codacy-sarif-limit-4I0x5,YES,YES,YES,YES,YES
claude/fix-codacy-warnings-QTZ9S,YES,YES,YES,YES,YES
claude/fix-code-style-cWDI4,YES,YES,YES,YES,YES
claude/fix-codebase-review-issues-kjZsN,YES,YES,YES,YES,YES
claude/fix-component-tests-pq68t,NO,NO,NO,NO,NO
claude/fix-coverage-requirements-QtFtS,YES,YES,YES,YES,YES
claude/fix-debug-logging-tests-G10GL,YES,YES,YES,YES,YES
claude/fix-deployment-failure-lpxjb,YES,YES,YES,YES,YES
claude/fix-eslint-docker-error-zPw7G,YES,YES,YES,YES,YES
claude/fix-eslint-workflow-xWVbe,YES,YES,YES,YES,YES
claude/fix-failing-tests-J1VZ6,YES,YES,YES,YES,YES
claude/fix-footer-accessibility-tests-UTTCF,NO,NO,NO,NO,NO
claude/fix-icon-selectors-X35Bu,NO,NO,NO,NO,NO
claude/fix-issue-192-zaEVH,NO,NO,NO,NO,NO
claude/fix-issue-243-OkdVQ,NO,NO,NO,NO,NO
claude/fix-issue-274-F2eKP,NO,NO,NO,NO,NO
claude/fix-issue-577-v60JV,YES,YES,YES,YES,YES
claude/fix-issue-661-7gozH,YES,YES,YES,YES,YES
claude/fix-lighthouse-ci-P9FYE,YES,YES,YES,YES,YES
claude/fix-lighthouse-failure-b5S6v,YES,YES,YES,YES,YES
claude/fix-npm-vulnerabilities-tkCap,NO,NO,NO,NO,NO
claude/fix-npm-vulnerabilities-wyGfa,YES,YES,YES,YES,YES
claude/fix-open-redirect-TX551,YES,YES,YES,YES,YES
claude/fix-peer-dependency-conflicts-Wj2iC,YES,YES,YES,YES,YES
claude/fix-sarif-run-limit-Sqg3v,NO,NO,NO,NO,NO
claude/fix-shell-injection-workflow-oX0sB,NO,NO,NO,NO,NO
claude/fix-workflow-e2e-tests-xHhZw,YES,YES,YES,YES,YES
claude/fix-workflow-permissions-dnoLR,YES,YES,YES,YES,YES
claude/implement-todo-2vcWQ,YES,YES,YES,YES,YES
claude/implement-todo-item-2H9LP,NO,NO,NO,NO,NO
claude/implement-todo-item-cDEVt,YES,YES,YES,YES,YES
claude/issue-184-8mfSq,NO,NO,NO,NO,NO
claude/issue-230-paperlyte-StkbW,YES,YES,YES,YES,YES
claude/mvp-landing-page-6csSA,YES,YES,YES,YES,YES
claude/recreate-paperlyte-ui-011V7rcoZYdnsQBn3JkDbQWP,NO,NO,NO,NO,NO
claude/relax-lighthouse-thresholds-DLVoz,YES,YES,YES,YES,YES
claude/resolve-merge-conflicts-G8pSa,NO,NO,NO,NO,NO
claude/resolve-merge-conflicts-KzQIj,NO,NO,NO,NO,NO
claude/review-close-issues-FZziy,NO,NO,NO,NO,NO
claude/review-roadmap-tasks-FF6Bj,NO,YES,NO,NO,NO
claude/setup-analytics-test-helpers-PwW8u,NO,NO,NO,NO,NO
claude/setup-routing-legal-pages-FITCE,NO,NO,NO,NO,NO
claude/setup-sonarcloud-HM572,YES,YES,YES,YES,YES
claude/tree-shake-font-awesome-cK85j,YES,YES,YES,YES,YES
coderabbitai/utg/7c8d2b6,YES,YES,YES,YES,YES
copilot/configure-claude-code-action,NO,NO,NO,NO,NO
copilot/fix-branch-protection-sanitization,NO,NO,NO,NO,NO
copilot/fix-eslint-configuration-error,NO,NO,NO,NO,NO
copilot/fix-icon-component-errors,NO,NO,NO,NO,NO
copilot/fix-input-validation-issues,NO,NO,NO,NO,NO
copilot/fix-invalid-coverage-yaml,NO,NO,NO,NO,NO
copilot/fix-issues-in-paperlyte-v2,NO,NO,NO,NO,NO
copilot/fix-missing-semicolons,NO,NO,NO,NO,NO
copilot/fix-missing-semicolons-again,NO,NO,NO,NO,NO
copilot/fix-security-error-url,YES,YES,YES,YES,NO
copilot/fix-sitemap-injection-issue,NO,NO,NO,NO,NO
copilot/improve-slow-code-performance,YES,YES,YES,YES,YES
copilot/improve-variable-function-naming,YES,YES,YES,YES,YES
copilot/refactor-hero-test-and-add-faq-timer-test,YES,YES,YES,YES,YES
copilot/resolve-security-alerts,NO,NO,NO,NO,NO
copilot/sub-pr-107,NO,NO,NO,NO,NO
copilot/sub-pr-107-yet-again,NO,NO,NO,NO,NO
copilot/sub-pr-113,NO,NO,NO,NO,NO
copilot/sub-pr-113-another-one,NO,NO,NO,NO,NO
copilot/sub-pr-163,NO,NO,NO,NO,NO
copilot/sub-pr-182,NO,NO,NO,NO,NO
copilot/sub-pr-182-again,NO,NO,NO,NO,NO
copilot/sub-pr-191,NO,NO,NO,NO,NO
copilot/sub-pr-191-again,NO,NO,NO,NO,NO
copilot/sub-pr-204,NO,NO,NO,NO,NO
copilot/sub-pr-241,NO,NO,NO,NO,NO
copilot/sub-pr-251,NO,NO,NO,NO,NO
copilot/sub-pr-345,NO,NO,NO,NO,NO
copilot/sub-pr-353,NO,NO,NO,NO,NO
copilot/sub-pr-379,NO,NO,NO,NO,NO
copilot/sub-pr-384-another-one,NO,NO,NO,NO,NO
copilot/sub-pr-43,NO,NO,NO,NO,NO
copilot/sub-pr-43-again,NO,NO,NO,NO,NO
copilot/sub-pr-43-another-one,NO,NO,NO,NO,NO
copilot/sub-pr-460,NO,NO,NO,NO,NO
copilot/sub-pr-496,YES,YES,NO,NO,NO
copilot/sub-pr-503,NO,YES,NO,NO,NO
copilot/sub-pr-524,YES,YES,YES,YES,YES
copilot/sub-pr-593,YES,YES,YES,YES,YES
copilot/sub-pr-602,YES,YES,YES,YES,YES
copilot/sub-pr-602-again,YES,YES,YES,YES,YES
copilot/sub-pr-602-another-one,YES,YES,YES,YES,YES
copilot/sub-pr-602-yet-again,YES,YES,YES,YES,YES
copilot/sub-pr-80-f05b16e3-82a1-4c4e-a395-37518caeb994,NO,NO,NO,NO,NO
copilot/update-ci-workflow-for-multi-os,NO,NO,NO,NO,NO
daily-pr-review-2026-02-10-4472388519152119826,NO,NO,NO,NO,NO
daily-pr-review-2026-02-14-14414050132137760025,YES,YES,NO,NO,NO
daily-pr-review-2026-02-21-9802456407838076625,YES,YES,YES,YES,NO
daily-pr-review-2026-02-24-17585160201633769475,YES,YES,YES,YES,NO
daily-pr-review-2026-02-26-jules-4281948076072664101,YES,YES,YES,YES,NO
daily-pr-review-2026-02-27-jules-3696951863852039787,YES,YES,YES,YES,NO
daily-pr-review-2026-03-02-jules-3089381486739758831,YES,YES,YES,YES,YES
daily-pr-review-2026-03-03-jules-1902255574970321238,YES,YES,YES,YES,YES
daily-pr-review-2026-03-07-v2-10609599013389250671,YES,YES,YES,YES,YES
daily-pr-review-2026-03-18-14185320304070748022,YES,YES,YES,YES,YES
daily-pr-review-2026-03-20-jules-13211665603284065781,YES,YES,YES,YES,YES
daily-pr-review-2026-03-21-jules-4286228387657707862,YES,YES,YES,YES,YES
daily-pr-review-2026-03-23-jules-6205842812267622963-13609828713534931666,YES,YES,YES,YES,YES
daily-pr-review-2026-03-24-11058406235041512552,YES,YES,YES,YES,YES
daily-pr-review-summary-2026-02-08-4785299271730500259,NO,NO,NO,NO,NO
daily-pr-review-summary-2026-02-09-14823275582180140059,NO,NO,NO,NO,NO
daily-pr-review-summary-6282778158436239546,NO,NO,NO,NO,NO
dependabot/github_actions/SonarSource/sonarcloud-github-action-5.0.0,YES,YES,YES,YES,YES
dependabot/github_actions/actions/dependency-review-action-4.9.0,YES,YES,YES,YES,YES
dependabot/github_actions/codecov/codecov-action-5.5.3,YES,YES,YES,YES,YES
dependabot/github_actions/mikepenz/release-changelog-builder-action-6.1.1,YES,YES,YES,YES,YES
dependabot/npm_and_yarn/development-dependencies-d2a3d1254d,YES,YES,YES,YES,YES
dependabot/npm_and_yarn/fortawesome/react-fontawesome-3.3.0,YES,YES,YES,YES,YES
dependabot/npm_and_yarn/jsdom-29.0.1,YES,YES,YES,YES,YES
dependabot/npm_and_yarn/netlify/functions-5.1.5,YES,YES,YES,YES,YES
dependabot/npm_and_yarn/sentry/react-10.45.0,YES,YES,YES,YES,YES
dependabot/npm_and_yarn/vitejs/plugin-react-6.0.1,YES,YES,YES,YES,YES
feat/daily-pr-review-summary-15372459533392607538,NO,NO,NO,NO,NO
feat/pr-review-summary-14848597437187470619,NO,NO,NO,NO,NO
feat/pr-review-summary-6056504200618815877,NO,NO,NO,NO,NO
fix-codacy-eslint-issue-v2-12644842812267622963,NO,NO,NO,NO,NO
fix/axios-security-vulnerability-v1.13.5-5405739559523723967,NO,NO,NO,NO,NO
fix/comprehensive-code-review,NO,NO,NO,NO,NO
fix/deployment-error-privacy-tsx-8314844507989551467,NO,NO,NO,NO,NO
fix/pr-review-summary-13658223490607794745,NO,NO,NO,NO,NO
fix/sarif-run-limits-10682914094722837168,NO,YES,NO,NO,NO
jules-8236059562684373115-776dd3d4,YES,YES,YES,YES,YES
jules-pr-review-summary-20240729-8106851808364211252,NO,NO,NO,NO,NO
jules/daily-pr-review-2026-03-16-6275738728465901381,YES,YES,YES,YES,YES
jules/daily-pr-review-2026-03-17-16842176607985156216,YES,YES,YES,YES,YES
jules/daily-pr-reviews-2026-02-01-17765626361386676202,NO,NO,NO,NO,NO
jules/daily-pr-reviews-2026-02-11-6972036485928485234,YES,NO,NO,NO,NO
jules/daily-pr-reviews-2026-02-12-16809836452214312343,YES,YES,NO,NO,NO
jules/daily-pr-reviews-2026-02-19-4719887369919462222,YES,YES,NO,NO,NO
jules/daily-pr-reviews-2026-02-22-3223731670528855322,YES,YES,YES,YES,NO
jules/daily-pr-reviews-2026-02-28-7717523501616120739,YES,YES,YES,YES,YES
jules/daily-pr-reviews-2026-03-01-18244792920487672966,YES,YES,YES,YES,YES
jules/daily-pr-reviews-2026-03-04-report-10251414130935094083,YES,YES,YES,YES,YES
jules/daily-pr-reviews-2026-03-05-report-summary-5667099997819338057,YES,YES,YES,YES,YES
jules/daily-pr-reviews-2026-03-06-report-summary-6243541760084439098,YES,YES,YES,YES,YES
jules/daily-pr-reviews-2026-03-08-summary-v2-3899556432930976504,YES,YES,YES,YES,YES
jules/daily-pr-reviews-2026-03-09-summary-8301806644760865448,YES,YES,YES,YES,YES
jules/daily-pr-reviews-2026-03-10-report-summary-v3-8392104751930214876-15174514179081041706,YES,YES,YES,YES,YES
jules/daily-pr-reviews-2026-03-11-report-summary-v4-10302112025603386365,YES,YES,YES,YES,YES
jules/daily-pr-reviews-2026-03-12-summary-v5-fixed-eslint-10302112025603386365-15174514179081041706-v6-final-11283762388414469049-473b9a60,YES,YES,YES,YES,YES
jules/daily-pr-reviews-2026-03-13-4072900007824955159,YES,YES,YES,YES,YES
jules/daily-pr-reviews-2026-03-14-13849909000730381014,YES,YES,YES,YES,YES
jules/daily-pr-reviews-2026-03-19-report-summary-v7-final-11283762388414469049-473b9a60-11255955781419997158,YES,YES,YES,YES,YES
jules/pr-review-summary-11165912646709707472,NO,NO,NO,NO,NO
jules/pr-review-summary-16192473754370522877,NO,NO,NO,NO,NO
jules/pr-review-summary-20240726-873152842204259271,NO,NO,NO,NO,NO
jules/pr-review-summary-20240729-18162471950143534115,NO,NO,NO,NO,NO
jules/pr-review-summary-2026-01-29-11365988357200820095,NO,NO,NO,NO,NO
jules/pr-review-summary-2026-01-29-8139623939605678303,NO,NO,NO,NO,NO
jules/pr-review-summary-2026-02-04-8313316493899821801-4679997370915905942,NO,NO,NO,NO,NO
jules/pr-review-summary-20260122-4406564911245225919,NO,NO,NO,NO,NO
jules/pr-review-summary-20260202-11578380962463584985,NO,NO,NO,NO,NO
jules/pr-reviews-20260120-7390116479901445093,NO,NO,NO,NO,NO
jules/review-pr-10-8522388930699352215,NO,NO,NO,NO,NO
jules/review-pr-260-13001538872636404965,NO,NO,NO,NO,NO
pr-review-summary-2026-02-07-14469583565173805961,NO,NO,NO,NO,NO
pr-review-summary-2026-02-13-5587410840879607829,YES,YES,NO,NO,NO
pr-review-summary-2026-02-14-17680461667561612344,NO,YES,NO,NO,NO
pr-review-summary-2026-02-20-7148546196303944665,YES,YES,NO,NO,NO
pr-review-summary-2026-02-22-18062806459601458035,NO,YES,NO,NO,NO
pr-review-summary-2026-02-22-8032514686182351081,YES,YES,YES,YES,NO
pr-review-summary-20260216-report-7559260836207558703,YES,YES,NO,NO,NO
pr-review-summary-20260222-13964675344526938033,YES,YES,NO,NO,NO
vercel/set-up-vercel-web-analytics-in-a3qtl4,NO,NO,NO,NO,NO
